#RPLIDAR SCAN DATA
#COUNT=369
#Angule	Distance	Quality
356.1713 1544.0 188
356.8414 1554.0 188
357.5116 1567.0 188
358.1708 1573.0 188
358.8409 1586.0 188
359.5111 1592.0 188
0.1868 1595.0 188
0.8405 1587.0 188
1.4996 1596.0 188
9.9811 1844.0 188
10.6403 1844.0 188
11.2939 1854.0 188
11.8433 1877.0 188
12.4969 1929.0 188
13.1561 1924.0 188
13.8263 1945.0 188
14.4800 1969.0 188
15.1392 1992.0 188
15.8093 2011.0 188
16.4685 2034.0 188
17.1222 2068.0 188
17.7924 2119.0 188
18.4515 2153.0 188
19.1052 2183.0 188
19.7809 2213.0 188
20.4346 2237.0 188
21.1047 2272.0 188
21.7639 2312.0 188
22.4341 2338.0 188
23.1042 2379.0 188
23.6536 2423.0 188
24.3237 2454.0 188
24.9994 2493.0 188
25.6696 2553.0 188
26.3397 2592.0 188
26.9989 2633.0 188
27.6691 2684.0 188
28.3392 2743.0 188
29.0149 2801.0 188
29.6851 2866.0 188
30.3552 2920.0 188
30.9045 2985.0 188
31.5747 3051.0 188
32.2339 3104.0 188
33.4479 5430.0 188
34.1235 5452.0 188
34.7937 5433.0 188
35.4639 5398.0 188
36.1395 5374.0 188
36.8097 5345.0 188
37.4634 5332.0 188
38.1390 5305.0 188
38.8092 5287.0 188
39.4794 5256.0 188
40.1550 5246.0 188
40.8252 5234.0 188
41.4954 5203.0 188
42.1710 5216.0 188
42.8247 5189.0 188
69.5435 5488.0 188
70.2026 5342.0 188
70.8728 5316.0 188
82.9028 5646.0 188
83.5730 5576.0 188
89.5441 491.0 188
90.2142 472.0 188
90.9998 464.0 188
91.9171 460.0 188
92.5928 456.0 188
93.1366 449.0 188
93.9166 444.0 188
94.7186 439.0 188
95.1361 437.0 188
95.9326 433.0 188
96.5918 431.0 188
97.2620 428.0 188
98.3112 426.0 188
98.9813 424.0 188
99.3878 422.0 188
99.9371 420.0 188
100.6073 419.0 188
101.2775 418.0 188
102.3102 416.0 188
102.7332 415.0 188
103.5297 416.0 188
104.1998 417.0 188
104.7327 419.0 188
105.5292 421.0 188
106.0730 422.0 188
106.8750 425.0 188
107.4023 427.0 188
107.9517 428.0 188
108.8745 429.0 188
109.2920 431.0 188
109.9512 431.0 188
110.8575 434.0 188
111.1377 436.0 188
112.0441 438.0 188
112.6978 441.0 188
113.3569 446.0 188
114.0271 448.0 188
114.4336 451.0 188
115.0928 455.0 188
115.8728 459.0 188
116.2793 462.0 188
116.9330 466.0 188
117.7295 470.0 188
118.5150 472.0 188
119.0424 475.0 188
119.5752 478.0 188
120.1080 482.0 188
121.0144 486.0 188
121.4209 490.0 188
122.2174 497.0 188
122.6239 506.0 188
123.4039 516.0 188
123.6841 530.0 188
126.6998 3949.0 188
135.7800 153.0 188
136.4502 153.0 188
137.1204 153.0 188
137.7960 154.0 188
138.4662 154.0 188
139.1364 155.0 188
139.7955 157.0 188
140.4657 158.0 188
142.4817 163.0 188
143.1519 162.0 188
143.8110 163.0 188
144.4812 163.0 188
145.1514 163.0 188
145.8270 164.0 188
146.4972 166.0 188
148.4967 172.0 188
149.1669 172.0 188
149.8425 172.0 188
150.2655 173.0 188
150.9357 173.0 188
151.6058 174.0 188
152.2650 176.0 188
152.9352 179.0 188
154.9512 193.0 188
155.6213 197.0 188
156.2915 200.0 188
163.6249 190.0 188
164.2786 189.0 188
164.9487 190.0 188
165.6244 190.0 188
165.7782 191.0 188
166.9482 192.0 188
167.6239 193.0 188
167.6514 196.0 188
168.9478 198.0 188
162.1198 4421.0 188
162.7789 4290.0 188
163.4491 4109.0 188
164.1248 3921.0 188
164.9048 3726.0 188
165.5750 3591.0 188
166.2451 3439.0 188
166.9043 3333.0 188
167.5745 3184.0 188
173.0292 2574.0 188
173.6993 2473.0 188
174.3585 2413.0 188
175.0287 2351.0 188
175.6989 2306.0 188
176.4844 2259.0 188
177.1545 2227.0 188
177.8247 2177.0 188
178.4839 2130.0 188
179.1541 2077.0 188
179.8242 2030.0 188
180.4834 1987.0 188
181.1536 1955.0 188
181.9501 1917.0 188
182.6093 1878.0 188
183.2794 1856.0 188
183.9496 1825.0 188
184.6088 1789.0 188
185.2789 1758.0 188
185.9491 1726.0 188
186.6083 1711.0 188
187.4048 1678.0 188
187.9486 1661.0 188
188.6078 1633.0 188
189.2780 1605.0 188
190.0745 1587.0 188
190.7336 1566.0 188
191.4038 1539.0 188
192.0740 1522.0 188
192.7332 1505.0 188
193.4033 1484.0 188
194.1998 1473.0 188
