#RPLIDAR SCAN DATA
#COUNT=425
#Angule	Distance	Quality
355.8746 2121.0 188
356.5448 2077.0 188
357.2150 2070.0 188
357.8906 2054.0 188
358.5608 2047.0 188
359.2310 2042.0 188
359.9011 2027.0 188
0.5603 2004.0 188
1.2305 1978.0 188
9.2944 1961.0 188
9.9646 1953.0 188
10.6403 1933.0 188
11.4203 1918.0 188
11.9641 1912.0 188
12.6398 1903.0 188
13.4363 1901.0 188
14.1064 1901.0 188
14.6558 1900.0 188
15.4523 1891.0 188
15.9961 1889.0 188
16.6718 1896.0 188
17.4683 1890.0 188
17.9956 1894.0 188
18.6713 1884.0 188
19.4678 1879.0 188
20.0116 1884.0 188
20.8081 1881.0 188
21.4838 1888.0 188
22.0276 1878.0 188
22.6978 1881.0 188
23.4998 1883.0 188
24.1699 1884.0 188
24.8401 1889.0 188
25.3729 1890.0 188
26.0431 1886.0 188
26.8396 1890.0 188
27.3889 1902.0 188
28.1854 1883.0 188
28.8556 1896.0 188
29.5313 1897.0 188
30.2014 1911.0 188
30.7452 1912.0 188
31.5417 1916.0 188
32.0911 1921.0 188
32.8876 1918.0 188
33.5577 1926.0 188
34.1071 1937.0 188
34.7937 1938.0 188
35.4639 1942.0 188
36.1395 1949.0 188
36.8097 1950.0 188
37.4963 1957.0 188
38.1665 1966.0 188
38.8422 1980.0 188
39.5123 1981.0 188
40.1990 1990.0 188
40.8746 1990.0 188
41.5448 2006.0 188
42.2150 2010.0 188
42.9016 2018.0 188
43.5773 2027.0 188
44.2474 2039.0 188
44.9176 2051.0 188
45.6042 2061.0 188
46.2799 2078.0 188
46.9501 2086.0 188
47.6202 2098.0 188
48.3124 2103.0 188
48.9825 2112.0 188
49.6527 2125.0 188
50.3229 2144.0 188
51.0150 2154.0 188
51.6852 2164.0 188
52.3553 2175.0 188
53.0310 2196.0 188
53.7177 2210.0 188
54.3878 2220.0 188
55.0580 2237.0 188
55.7446 2264.0 188
56.4203 2274.0 188
57.0905 2295.0 188
57.7771 2315.0 188
60.2325 3820.0 188
60.9192 3823.0 188
61.5894 3862.0 188
64.1821 4030.0 188
64.8578 4056.0 188
67.5604 4246.0 188
75.0311 4317.0 188
75.7013 4297.0 188
76.3715 4254.0 188
77.0416 4226.0 188
81.0736 4090.0 188
81.7493 4025.0 188
82.4194 3995.0 188
83.0896 3965.0 188
83.7653 3995.0 188
84.4354 4054.0 188
85.1056 4158.0 188
85.7813 4224.0 188
86.4514 4332.0 188
87.1216 4434.0 188
87.7917 4561.0 188
88.4674 4700.0 188
89.8077 4970.0 188
91.1536 5256.0 188
98.5144 363.0 188
98.9374 351.0 188
99.9811 346.0 188
100.6512 341.0 188
101.3269 337.0 188
101.9971 333.0 188
103.1671 328.0 188
103.2166 326.0 188
104.5129 323.0 188
104.8096 321.0 188
105.7489 320.0 188
106.2927 320.0 188
106.9684 319.0 188
107.8857 318.0 188
108.5614 317.0 188
109.2316 316.0 188
109.9182 316.0 188
110.4675 316.0 188
111.3904 315.0 188
112.1869 315.0 188
112.4835 314.0 188
112.9010 314.0 188
114.0765 314.0 188
114.1370 314.0 188
115.3125 314.0 188
115.6091 314.0 188
116.4056 314.0 188
117.0758 314.0 188
117.8723 314.0 188
118.5590 316.0 188
119.4818 317.0 188
120.0311 320.0 188
120.2014 322.0 188
121.3715 324.0 188
121.5417 326.0 188
122.2339 328.0 188
123.1403 330.0 188
123.3105 333.0 188
124.3542 335.0 188
125.1563 338.0 188
125.7001 341.0 188
126.2494 339.0 188
126.5295 346.0 188
127.6996 344.0 188
128.1226 347.0 188
128.4192 351.0 188
129.5892 356.0 188
129.7650 361.0 188
130.7922 364.0 188
131.3416 367.0 188
131.6382 373.0 188
132.6874 377.0 188
133.2312 383.0 188
137.9059 167.0 188
138.5760 166.0 188
139.2297 166.0 188
139.9054 167.0 188
140.5756 167.0 188
141.2457 168.0 188
141.9214 170.0 188
142.5916 170.0 188
144.5911 172.0 188
145.2612 172.0 188
145.9369 172.0 188
146.3544 172.0 188
147.0300 173.0 188
147.7002 174.0 188
148.3704 176.0 188
150.4028 179.0 188
151.0730 178.0 188
151.7487 178.0 188
152.4188 179.0 188
153.0890 180.0 188
153.7811 181.0 188
154.3250 183.0 188
155.1215 186.0 188
157.1539 195.0 188
157.8241 199.0 188
165.2454 190.0 188
165.9375 189.0 188
166.6077 190.0 188
167.2778 190.0 188
167.9480 192.0 188
168.6401 194.0 188
169.2938 196.0 188
164.3390 673.0 188
165.0146 670.0 188
165.8112 665.0 188
166.4813 659.0 188
167.0306 653.0 188
167.8271 645.0 188
168.4973 626.0 188
172.5293 635.0 188
173.3258 613.0 188
173.8696 608.0 188
174.6552 604.0 188
175.3253 600.0 188
176.1218 597.0 188
176.7920 594.0 188
177.3413 610.0 188
178.0115 588.0 188
178.8080 584.0 188
179.4836 582.0 188
180.1538 579.0 188
180.8240 576.0 188
181.4996 574.0 188
182.0435 571.0 188
182.7136 569.0 188
183.5156 567.0 188
184.1858 564.0 188
184.7296 563.0 188
185.5261 560.0 188
186.2018 557.0 188
186.7456 556.0 188
187.5421 555.0 188
188.2343 554.0 188
189.0308 551.0 188
189.7009 550.0 188
190.3711 549.0 188
190.9204 547.0 188
191.8542 547.0 188
192.4036 545.0 188
192.9529 543.0 188
193.7494 543.0 188
194.5624 541.0 188
195.1062 541.0 188
195.6555 540.0 188
196.4520 541.0 188
197.1222 549.0 188
204.9500 188.0 188
205.6366 191.0 188
206.3123 194.0 188
204.0106 521.0 188
204.5599 518.0 188
205.3564 522.0 188
211.1847 554.0 188
212.1075 540.0 188
212.5305 537.0 188
213.3270 539.0 188
214.1400 539.0 188
214.8102 539.0 188
215.3540 542.0 188
216.0297 545.0 188
216.6998 547.0 188
217.2656 549.0 188
218.0621 550.0 188
218.7323 553.0 188
219.4025 555.0 188
220.0781 555.0 188
220.6219 558.0 188
221.1823 560.0 188
221.9843 562.0 188
222.7808 564.0 188
223.3246 568.0 188
223.9948 569.0 188
224.8077 574.0 188
225.3571 576.0 188
226.0272 579.0 188
226.7029 582.0 188
227.3730 586.0 188
228.0597 591.0 188
228.6090 594.0 188
229.1528 598.0 188
230.0922 601.0 188
230.6360 604.0 188
231.3116 606.0 188
231.9983 612.0 188
232.6685 615.0 188
233.2178 619.0 188
233.9044 624.0 188
234.5746 630.0 188
235.2448 634.0 188
235.9369 638.0 188
236.6071 643.0 188
237.2772 649.0 188
237.8430 653.0 188
238.5132 659.0 188
239.0625 675.0 188
239.8700 681.0 188
240.5457 688.0 188
241.0895 695.0 188
241.7761 700.0 188
242.4518 708.0 188
243.1219 715.0 188
243.6823 722.0 188
244.3579 730.0 188
245.0281 737.0 188
245.7147 746.0 188
246.2640 753.0 188
246.9342 763.0 188
247.6208 777.0 188
248.2965 781.0 188
248.9832 791.0 188
249.6533 799.0 188
250.2026 811.0 188
250.8728 822.0 188
251.5430 831.0 188
252.2186 843.0 188
252.9053 854.0 188
253.4491 867.0 188
254.2456 880.0 188
254.7949 894.0 188
255.4651 906.0 188
256.1517 924.0 188
256.8274 934.0 188
257.4976 949.0 188
258.1677 965.0 188
258.7170 984.0 188
259.4037 1001.0 188
260.0739 1018.0 188
260.6232 1039.0 188
261.4197 1061.0 188
262.0898 1081.0 188
262.6392 1107.0 188
263.3258 1125.0 188
263.9960 1149.0 188
264.5453 1175.0 188
265.2155 1200.0 188
265.8856 1227.0 188
266.5778 1256.0 188
267.1216 1291.0 188
267.9181 1322.0 188
268.4674 1356.0 188
269.1376 1394.0 188
269.8242 1432.0 188
270.3571 1476.0 188
271.0272 1516.0 188
271.7029 1565.0 188
272.3730 1614.0 188
273.0432 1663.0 188
273.5925 1719.0 188
274.2627 1782.0 188
274.9329 1847.0 188
275.6085 1908.0 188
276.1523 1997.0 188
276.8280 2041.0 188
282.6233 2988.0 188
284.5129 4226.0 188
285.1831 4606.0 188
285.8588 4970.0 188
286.5289 5048.0 188
287.1991 5077.0 188
287.8748 5032.0 188
288.5449 5067.0 188
289.2151 5062.0 188
289.8853 5039.0 188
290.5609 5016.0 188
291.2146 5044.0 188
291.8903 5037.0 188
292.5604 5027.0 188
293.2306 5032.0 188
293.9063 5039.0 188
294.5764 5032.0 188
295.2301 5072.0 188
295.9058 5062.0 188
296.5759 5074.0 188
297.2461 5093.0 188
297.9218 5096.0 188
298.5919 5113.0 188
299.2456 5098.0 188
299.9213 5115.0 188
300.5914 5125.0 188
307.9523 5300.0 188
308.6224 5313.0 188
309.2926 5318.0 188
309.9683 5305.0 188
310.6384 5313.0 188
311.3086 5337.0 188
311.9843 5363.0 188
312.6544 5274.0 188
313.3246 5164.0 188
313.9948 4974.0 188
314.6704 4830.0 188
315.3406 4696.0 188
316.0107 4534.0 188
316.7029 4551.0 188
317.3730 4542.0 188
318.0432 4575.0 188
318.7134 4585.0 188
319.3890 4616.0 188
320.0592 4641.0 188
320.7458 4663.0 188
321.4215 4717.0 188
322.0917 4723.0 188
322.7618 4750.0 188
323.4375 4797.0 188
324.1077 4826.0 188
324.7778 4856.0 188
325.4645 4890.0 188
326.1401 4928.0 188
326.8103 4983.0 188
327.4805 5013.0 188
328.1561 5055.0 188
328.8263 5105.0 188
329.5129 5159.0 188
330.1831 5208.0 188
330.8588 5256.0 188
331.5289 5285.0 188
332.1991 5332.0 188
332.8748 5374.0 188
333.5614 5425.0 188
334.2151 5513.0 188
334.8853 5570.0 188
335.5609 5631.0 188
