#RPLIDAR SCAN DATA
#COUNT=363
#Angule	Distance	Quality
355.9021 2054.0 188
356.5778 2069.0 188
357.2479 2075.0 188
357.9181 2104.0 188
358.5773 2111.0 188
359.2474 2115.0 188
359.9176 2139.0 188
0.5933 2135.0 188
1.2634 2123.0 188
9.8273 2510.0 188
10.4974 2510.0 188
11.1676 2531.0 188
11.8433 2556.0 188
12.4969 2577.0 188
13.1671 2603.0 188
13.8428 2641.0 188
14.5129 2660.0 188
15.1831 2699.0 188
15.8423 2737.0 188
16.5125 2767.0 188
17.1826 2801.0 188
17.8583 2845.0 188
18.4021 2889.0 188
19.1986 2928.0 188
19.7314 2966.0 188
20.4016 3002.0 188
24.2963 5324.0 188
24.9664 5326.0 188
25.6366 5305.0 188
26.3123 5308.0 188
26.9824 5274.0 188
27.6361 5244.0 188
28.3118 5234.0 188
28.9819 5196.0 188
29.6521 5139.0 188
30.3278 5115.0 188
30.9979 5089.0 188
31.6681 5062.0 188
32.3273 5046.0 188
32.9974 4999.0 188
33.6676 4986.0 188
34.3433 4967.0 188
35.0134 4951.0 188
35.6836 4981.0 188
63.9514 5324.0 188
64.6051 4813.0 188
65.2808 4789.0 188
65.9509 4774.0 188
66.6211 4810.0 188
67.2803 4850.0 188
67.9504 4963.0 188
68.6206 4999.0 188
69.2798 5013.0 188
69.9500 5041.0 188
70.6201 5048.0 188
85.9790 3977.0 188
86.6547 3878.0 188
90.8569 449.0 188
91.9061 438.0 188
92.2028 433.0 188
93.1201 429.0 188
93.6530 426.0 188
94.5758 421.0 188
95.3723 415.0 188
95.7953 413.0 188
96.8390 409.0 188
97.1356 407.0 188
97.9211 404.0 188
98.4650 403.0 188
99.6405 400.0 188
100.1843 399.0 188
100.7336 397.0 188
101.3873 396.0 188
102.0575 395.0 188
102.8540 393.0 188
103.2770 392.0 188
104.0735 392.0 188
104.9799 391.0 188
105.6555 391.0 188
106.1993 393.0 188
106.8750 395.0 188
107.6715 396.0 188
107.9681 398.0 188
108.8855 400.0 188
109.1821 402.0 188
110.2313 404.0 188
110.7806 406.0 188
111.1981 408.0 188
112.1210 410.0 188
112.6703 412.0 188
113.4833 414.0 188
114.0271 417.0 188
114.8236 419.0 188
115.1202 424.0 188
115.9167 427.0 188
116.3397 431.0 188
117.2626 434.0 188
117.6855 438.0 188
118.3722 443.0 188
119.0424 447.0 188
119.7180 450.0 188
120.2618 454.0 188
121.1847 458.0 188
121.7340 462.0 188
122.4042 466.0 188
123.0743 470.0 188
123.7610 475.0 188
124.3103 481.0 188
124.7333 491.0 188
125.5298 501.0 188
126.0736 517.0 188
128.4027 3201.0 188
136.4337 173.0 188
137.1094 172.0 188
138.0267 170.0 188
138.7024 169.0 188
139.3561 157.0 188
140.0262 154.0 188
140.7019 153.0 188
141.3556 153.0 188
142.0313 154.0 188
142.7014 155.0 188
143.3716 156.0 188
144.0308 158.0 188
144.7009 160.0 188
146.7004 169.0 188
147.3706 167.0 188
148.0463 165.0 188
148.7000 166.0 188
149.3701 166.0 188
150.0458 167.0 188
150.6995 168.0 188
151.3696 169.0 188
163.8885 189.0 188
164.5587 189.0 188
165.2344 189.0 188
165.9045 190.0 188
166.5747 190.0 188
167.2449 191.0 188
167.9205 193.0 188
168.5907 194.0 188
169.2609 196.0 188
169.9530 201.0 188
163.1250 4725.0 188
163.7952 4765.0 188
164.4653 4763.0 188
165.1355 4774.0 188
165.8112 4635.0 188
166.4813 4486.0 188
167.1515 4341.0 188
167.8271 4153.0 188
173.9960 3307.0 188
174.6716 3190.0 188
175.3253 3110.0 188
175.9955 3048.0 188
176.6711 3002.0 188
177.3413 2938.0 188
178.0115 2872.0 188
178.8080 2812.0 188
179.4836 2747.0 188
180.1538 2714.0 188
180.8075 2664.0 188
181.4832 2629.0 188
182.1533 2585.0 188
182.8235 2550.0 188
183.4991 2510.0 188
184.1693 2453.0 188
184.8395 2409.0 188
185.5151 2374.0 188
186.1688 2327.0 188
186.9653 2301.0 188
187.5146 2261.0 188
188.3112 2244.0 188
188.9813 2203.0 188
189.6515 2185.0 188
190.3271 2157.0 188
190.9973 2133.0 188
191.6675 2103.0 188
192.3431 2069.0 188
193.0133 2055.0 188
193.6835 2035.0 188
194.3591 2009.0 188
195.0293 1995.0 188
205.5267 191.0 188
206.0760 195.0 188
202.5604 1795.0 188
203.2306 1783.0 188
203.9063 1772.0 188
204.5764 1750.0 188
205.2466 1733.0 188
206.0596 1696.0 188
212.6678 1648.0 188
213.4644 1610.0 188
214.1400 1601.0 188
214.8102 1588.0 188
215.4803 1588.0 188
216.1560 1623.0 188
216.7163 1675.0 188
217.3865 1717.0 188
218.0621 1772.0 188
218.7323 1827.0 188
219.2761 1862.0 188
223.2147 2796.0 188
223.8904 2793.0 188
224.5605 2793.0 188
225.2307 2768.0 188
225.9009 2598.0 188
227.8125 3685.0 188
228.4827 3687.0 188
229.0265 3969.0 188
234.2944 8988.0 188
234.9646 9164.0 188
235.6403 9148.0 188
236.3104 9041.0 188
236.9806 9011.0 188
237.6563 9094.0 188
238.3264 9102.0 188
238.9966 9164.0 188
239.6558 9141.0 188
240.3259 9018.0 188
240.9961 9133.0 188
241.6718 9242.0 188
247.6978 9172.0 188
248.3734 9258.0 188
249.7137 8567.0 188
250.3729 8394.0 188
251.0431 8304.0 188
251.7188 8329.0 188
252.3889 8329.0 188
253.0591 8368.0 188
253.7292 8453.0 188
254.4049 8453.0 188
257.8711 5326.0 188
259.2169 5034.0 188
260.5573 4702.0 188
261.2164 4551.0 188
261.8866 4434.0 188
262.5623 4327.0 188
263.2324 4251.0 188
263.9026 4124.0 188
264.5728 4039.0 188
265.2484 3940.0 188
265.9186 3847.0 188
266.6986 3739.0 188
267.3743 3660.0 188
268.0444 3608.0 188
268.7146 3529.0 188
269.3903 3465.0 188
270.0604 3398.0 188
270.7306 3352.0 188
271.4063 3315.0 188
272.0599 3315.0 188
272.7301 3348.0 188
273.4058 3374.0 188
274.0759 3406.0 188
274.7461 3418.0 188
275.4218 3458.0 188
276.0919 3490.0 188
276.7621 3516.0 188
277.4213 3553.0 188
278.0914 3587.0 188
278.7616 3629.0 188
279.4373 3667.0 188
280.1074 3699.0 188
280.6512 3758.0 188
281.3104 3793.0 188
281.9806 3834.0 188
282.6563 3886.0 188
283.4528 3956.0 188
283.9966 3999.0 188
284.6667 4017.0 188
287.3419 3850.0 188
288.1384 3807.0 188
289.4843 3720.0 188
290.1379 3686.0 188
290.8081 3663.0 188
291.4838 3624.0 188
292.1539 3585.0 188
292.8241 3559.0 188
293.4998 3525.0 188
294.1534 3502.0 188
294.8236 3483.0 188
295.4993 3466.0 188
296.1694 3420.0 188
296.8396 3399.0 188
297.5153 3374.0 188
298.1854 3358.0 188
298.8391 3347.0 188
299.5148 3322.0 188
300.1685 3299.0 188
300.8386 3275.0 188
301.5143 3262.0 188
302.1680 3243.0 188
302.8436 3234.0 188
303.5138 3220.0 188
304.1675 3181.0 188
304.8431 3174.0 188
305.5133 3147.0 188
306.1670 3134.0 188
306.8427 3123.0 188
307.7655 1960.0 188
308.4192 1943.0 188
309.0894 1938.0 188
309.7650 1932.0 188
310.5450 1913.0 188
311.0889 1906.0 188
311.8854 1903.0 188
312.5446 1901.0 188
313.2147 1893.0 188
313.8904 1896.0 188
314.4177 1881.0 188
315.2142 1876.0 188
315.8899 1873.0 188
316.4172 1871.0 188
317.2137 1861.0 188
317.8894 1857.0 188
318.5431 1851.0 188
319.2188 1851.0 188
319.8889 1845.0 188
320.5591 1838.0 188
321.2292 1840.0 188
321.9049 1842.0 188
322.5751 1837.0 188
323.2452 1837.0 188
323.9209 1846.0 188
324.5911 1845.0 188
325.2612 1835.0 188
325.9369 1815.0 188
326.6071 1828.0 188
327.2772 1815.0 188
327.9529 1807.0 188
328.6230 1814.0 188
329.2932 1815.0 188
329.9634 1810.0 188
330.6390 1819.0 188
331.3092 1819.0 188
331.9794 1816.0 188
