#RPLIDAR SCAN DATA
#COUNT=443
#Angule	Distance	Quality
356.2921 1605.0 188
357.0886 1595.0 188
357.7643 1571.0 188
358.4180 1560.0 188
359.0936 1540.0 188
359.7638 1529.0 188
0.4175 1490.0 188
1.0931 1470.0 188
9.2175 1392.0 188
9.8877 1363.0 188
10.5579 1336.0 188
11.2335 1325.0 188
11.8872 1322.0 188
12.6837 1307.0 188
13.2330 1300.0 188
14.0131 1295.0 188
14.5624 1286.0 188
15.2325 1277.0 188
16.0291 1265.0 188
16.6827 1261.0 188
17.2321 1261.0 188
17.9022 1254.0 188
18.6823 1243.0 188
19.3579 1240.0 188
20.0281 1230.0 188
20.6982 1226.0 188
21.3574 1225.0 188
22.0276 1219.0 188
22.6978 1212.0 188
23.3569 1208.0 188
24.0271 1203.0 188
24.8236 1202.0 188
25.3729 1195.0 188
26.0266 1204.0 188
26.7023 1189.0 188
27.3724 1187.0 188
28.0426 1184.0 188
28.7018 1179.0 188
29.3719 1179.0 188
30.1685 1173.0 188
30.8386 1174.0 188
31.3879 1167.0 188
32.0581 1166.0 188
32.7173 1166.0 188
33.3875 1164.0 188
34.1840 1161.0 188
34.8541 1161.0 188
35.5298 1164.0 188
36.0736 1156.0 188
36.7328 1158.0 188
37.4030 1155.0 188
38.1995 1156.0 188
38.8696 1154.0 188
39.4189 1154.0 188
40.2155 1155.0 188
40.8856 1153.0 188
41.5448 1154.0 188
42.2150 1151.0 188
42.8906 1155.0 188
43.4344 1154.0 188
44.1046 1152.0 188
44.7803 1154.0 188
45.5603 1153.0 188
46.1041 1157.0 188
46.7798 1162.0 188
47.5763 1162.0 188
48.1201 1164.0 188
48.9166 1162.0 188
49.5923 1172.0 188
50.1361 1176.0 188
50.9326 1178.0 188
51.4819 1180.0 188
52.1521 1179.0 188
52.9486 1185.0 188
53.4979 1185.0 188
54.1846 1190.0 188
54.8547 1191.0 188
55.5304 1192.0 188
56.2006 1197.0 188
56.8707 1202.0 188
58.2770 2373.0 188
58.9526 2380.0 188
59.6228 2382.0 188
60.2930 2398.0 188
60.9686 2407.0 188
61.6388 2413.0 188
62.3254 2428.0 188
62.9956 2432.0 188
63.6713 2445.0 188
64.3414 2459.0 188
65.0116 2465.0 188
65.6873 2472.0 188
66.3739 2492.0 188
67.0441 2503.0 188
67.7142 2516.0 188
68.3899 2538.0 188
69.0601 2564.0 188
69.7302 2569.0 188
70.4169 2597.0 188
71.0760 2616.0 188
75.0751 2730.0 188
75.7452 2735.0 188
76.4044 2774.0 188
77.0746 2767.0 188
81.6229 2981.0 188
82.2766 3004.0 188
82.9523 3032.0 188
83.6224 3071.0 188
84.2761 3108.0 188
84.9518 3124.0 188
85.6219 3172.0 188
86.2811 3220.0 188
86.9513 3258.0 188
87.6215 3287.0 188
88.2806 3280.0 188
88.9508 3250.0 188
89.6210 3223.0 188
90.2802 3194.0 188
90.9503 3147.0 188
91.6205 3135.0 188
92.2797 3090.0 188
92.9498 3080.0 188
93.6200 3047.0 188
94.2957 3034.0 188
98.3386 382.0 188
99.5142 371.0 188
99.6680 366.0 188
100.5908 362.0 188
101.6400 358.0 188
101.9366 353.0 188
102.7332 350.0 188
103.5297 346.0 188
104.1833 344.0 188
105.1062 342.0 188
105.9027 341.0 188
106.3257 340.0 188
106.7487 340.0 188
107.7924 339.0 188
108.2153 339.0 188
109.2480 339.0 188
109.5447 338.0 188
110.3412 338.0 188
111.3904 338.0 188
111.3080 338.0 188
112.4835 337.0 188
113.3899 337.0 188
113.6865 337.0 188
114.3567 337.0 188
114.7797 337.0 188
115.4498 338.0 188
116.6199 337.0 188
117.0428 339.0 188
117.3230 340.0 188
117.9987 343.0 188
119.0424 344.0 188
119.7180 348.0 188
120.1245 350.0 188
120.5420 353.0 188
121.3385 356.0 188
122.0142 359.0 188
122.6843 362.0 188
123.2172 365.0 188
123.7610 368.0 188
124.5575 366.0 188
124.9805 370.0 188
126.0132 373.0 188
126.5625 377.0 188
127.3590 382.0 188
127.7765 388.0 188
128.1995 393.0 188
128.8586 397.0 188
129.6552 402.0 188
130.1990 408.0 188
130.6219 415.0 188
131.2811 421.0 188
131.9513 428.0 188
132.4951 435.0 188
138.0432 157.0 188
138.7134 157.0 188
139.3726 157.0 188
140.0427 157.0 188
140.7184 158.0 188
141.3885 159.0 188
142.0587 160.0 188
142.7179 161.0 188
143.3881 162.0 188
144.0582 164.0 188
144.7339 167.0 188
145.4041 170.0 188
147.4036 171.0 188
148.0737 169.0 188
148.7494 170.0 188
149.4031 170.0 188
150.0732 170.0 188
150.7489 171.0 188
151.1719 173.0 188
151.8420 175.0 188
152.5122 178.0 188
154.5117 193.0 188
155.1874 196.0 188
163.8721 183.0 188
164.5422 182.0 188
165.2179 181.0 188
165.8881 182.0 188
166.5582 183.0 188
167.2339 185.0 188
167.9041 186.0 188
168.5742 188.0 188
169.2334 191.0 188
169.9036 195.0 188
163.0756 4928.0 188
163.7457 4892.0 188
164.4214 4922.0 188
165.0916 4972.0 188
165.7617 5006.0 188
166.4374 5044.0 188
167.0911 5115.0 188
167.7612 5161.0 188
174.2926 1823.0 188
176.3086 1854.0 188
176.9843 1873.0 188
177.6544 1894.0 188
178.9838 1914.0 188
179.6539 1903.0 188
180.1978 1880.0 188
180.8734 1868.0 188
181.6699 1853.0 188
182.3401 1838.0 188
183.0103 1813.0 188
183.6859 1794.0 188
184.3561 1780.0 188
185.0153 1768.0 188
185.6854 1752.0 188
186.3556 1742.0 188
187.0313 1729.0 188
187.7014 1717.0 188
188.3716 1710.0 188
189.0417 1686.0 188
189.7174 1675.0 188
190.3876 1669.0 188
191.1841 1651.0 188
191.7334 1643.0 188
192.5134 1632.0 188
193.0573 1620.0 188
193.7329 1611.0 188
194.5294 1606.0 188
205.4333 188.0 188
206.1090 192.0 188
202.5769 1505.0 188
203.3734 1319.0 188
204.0436 1319.0 188
204.7137 1311.0 188
205.7465 982.0 188
205.6696 2030.0 188
212.7448 1475.0 188
213.2941 1452.0 188
213.9642 1447.0 188
214.6399 1441.0 188
215.3101 1440.0 188
215.9637 1441.0 188
216.7603 1440.0 188
217.3096 1437.0 188
218.1061 1432.0 188
218.6554 1437.0 188
219.4519 1427.0 188
220.1221 1433.0 188
220.7922 1430.0 188
221.4679 1430.0 188
222.1381 1438.0 188
222.6874 1436.0 188
223.4839 1437.0 188
224.1541 1437.0 188
224.8407 1446.0 188
225.5109 1443.0 188
226.1865 1443.0 188
226.8567 1443.0 188
227.5269 1449.0 188
228.2135 1447.0 188
228.8892 1454.0 188
229.4330 1452.0 188
230.1086 1452.0 188
230.9052 1458.0 188
231.4655 1462.0 188
232.2620 1467.0 188
232.8113 1468.0 188
233.4814 1474.0 188
234.1516 1479.0 188
234.8273 1479.0 188
235.5139 1486.0 188
236.3104 1495.0 188
236.8542 1491.0 188
237.5299 1498.0 188
238.2001 1501.0 188
238.8867 1512.0 188
239.5624 1520.0 188
240.2325 1524.0 188
240.9027 1535.0 188
241.8256 1270.0 188
241.5125 5745.0 188
245.0446 1379.0 188
245.5884 1391.0 188
246.3904 1399.0 188
247.0605 1414.0 188
