#RPLIDAR SCAN DATA
#COUNT=391
#Angule	Distance	Quality
356.6382 1291.0 188
357.2919 1301.0 188
357.9675 1319.0 188
358.6377 1321.0 188
359.3079 1328.0 188
359.9835 1333.0 188
0.6372 1307.0 188
9.2175 1526.0 188
9.8877 1524.0 188
10.5579 1523.0 188
11.2170 1534.0 188
11.8872 1556.0 188
12.5574 1569.0 188
13.2330 1589.0 188
13.9032 1603.0 188
14.4525 1620.0 188
15.1227 1645.0 188
15.7928 1670.0 188
16.5894 1682.0 188
17.1387 1712.0 188
17.8088 1730.0 188
18.4790 1759.0 188
19.1547 1787.0 188
19.8413 1809.0 188
20.5115 1836.0 188
21.0608 1865.0 188
21.8573 1900.0 188
22.4011 1943.0 188
23.0768 1988.0 188
23.7469 2051.0 188
24.4171 2089.0 188
25.1093 2126.0 188
25.7794 2166.0 188
26.4496 2204.0 188
27.1198 2246.0 188
27.7954 2289.0 188
28.3392 2351.0 188
29.0149 2395.0 188
29.6851 2452.0 188
30.3717 2494.0 188
31.0419 2566.0 188
31.7175 2648.0 188
32.3877 2709.0 188
33.0579 2779.0 188
33.7335 2841.0 188
34.2773 2911.0 188
34.9530 2998.0 188
35.6396 3081.0 188
36.3098 3200.0 188
36.9800 3284.0 188
37.6556 3365.0 188
38.1995 5628.0 188
38.8696 5570.0 188
39.5453 5570.0 188
40.2155 5559.0 188
40.8856 5556.0 188
41.5613 5536.0 188
42.2314 5472.0 188
42.9181 5480.0 188
43.5938 5425.0 188
44.2639 5417.0 188
44.9341 5441.0 188
69.0765 6019.0 188
69.8730 5720.0 188
70.5432 5735.0 188
81.2164 6067.0 188
81.8866 6033.0 188
85.9351 400.0 188
86.9952 387.0 188
87.4182 379.0 188
88.5938 370.0 188
88.8904 363.0 188
90.1868 356.0 188
90.8569 352.0 188
91.0437 349.0 188
91.8402 346.0 188
92.5104 343.0 188
93.3124 341.0 188
94.4824 338.0 188
94.9054 336.0 188
95.4492 334.0 188
96.1359 333.0 188
96.9324 331.0 188
97.4817 329.0 188
98.4045 328.0 188
98.8275 326.0 188
100.1239 324.0 188
100.6842 323.0 188
100.8545 322.0 188
102.2772 321.0 188
102.4530 322.0 188
103.1232 322.0 188
103.5461 323.0 188
104.6063 324.0 188
105.4028 325.0 188
105.5731 326.0 188
106.3696 327.0 188
107.2925 328.0 188
107.8418 329.0 188
108.2648 330.0 188
109.1821 331.0 188
109.8578 332.0 188
110.5280 333.0 188
110.9509 333.0 188
112.1375 331.0 188
112.6868 333.0 188
113.2306 334.0 188
113.6536 336.0 188
114.7028 338.0 188
115.2466 341.0 188
115.5432 344.0 188
116.3397 346.0 188
117.2626 347.0 188
117.3120 349.0 188
117.9822 351.0 188
119.1687 353.0 188
119.3390 356.0 188
120.2618 359.0 188
121.0583 362.0 188
121.7340 364.0 188
122.0306 368.0 188
122.9480 371.0 188
123.3710 374.0 188
123.7939 378.0 188
124.7168 381.0 188
125.4034 385.0 188
125.6836 390.0 188
126.7328 396.0 188
127.4030 402.0 188
127.8259 409.0 188
128.4961 418.0 188
128.9191 430.0 188
136.8896 169.0 188
137.3071 172.0 188
138.2300 171.0 188
138.9056 171.0 188
139.5758 171.0 188
140.2460 172.0 188
140.6689 173.0 188
141.3391 175.0 188
143.3551 181.0 188
144.0143 177.0 188
144.6844 177.0 188
145.3546 177.0 188
146.0303 177.0 188
146.7004 178.0 188
147.3706 180.0 188
148.0463 182.0 188
148.7164 183.0 188
149.3866 186.0 188
150.0623 185.0 188
150.7324 185.0 188
151.4026 186.0 188
152.0728 186.0 188
152.7484 187.0 188
153.4186 189.0 188
154.0887 192.0 188
155.3741 208.0 188
155.9180 212.0 188
164.8883 191.0 188
165.5585 194.0 188
166.2341 193.0 188
166.9043 194.0 188
167.5745 195.0 188
168.2611 196.0 188
168.9368 198.0 188
169.6069 200.0 188
169.7772 202.0 188
163.7018 2268.0 188
164.4983 2223.0 188
165.1849 2151.0 188
165.8386 2100.0 188
166.5143 2028.0 188
167.1844 1973.0 188
167.9810 1897.0 188
168.6511 1814.0 188
173.4796 1522.0 188
174.1553 1479.0 188
174.8254 1484.0 188
175.4956 1486.0 188
176.1713 1496.0 188
176.8414 1508.0 188
177.5116 1515.0 188
178.1873 1531.0 188
178.8574 1540.0 188
179.5276 1556.0 188
180.1978 1563.0 188
180.8734 1579.0 188
181.5436 1592.0 188
182.2137 1607.0 188
182.8894 1618.0 188
183.5596 1623.0 188
184.1089 1637.0 188
185.4492 1891.0 188
186.1249 1902.0 188
186.6687 1912.0 188
187.3389 1944.0 188
188.0145 1955.0 188
188.6847 1969.0 188
189.3713 1997.0 188
190.0415 2017.0 188
190.7172 2043.0 188
192.0740 2091.0 188
205.2795 189.0 188
205.9662 192.0 188
202.7637 2325.0 188
213.4479 3307.0 188
214.1235 3358.0 188
214.7937 3450.0 188
215.4639 3571.0 188
216.1395 3642.0 188
216.8097 3798.0 188
217.3590 3886.0 188
218.0292 4040.0 188
218.7158 4176.0 188
219.3860 4338.0 188
220.0616 4501.0 188
220.7318 4686.0 188
221.4020 4958.0 188
222.0776 5127.0 188
222.7478 5311.0 188
228.0103 8329.0 188
228.6859 8355.0 188
229.3726 8278.0 188
232.0752 8460.0 188
232.7454 8388.0 188
233.4210 8394.0 188
234.0912 8266.0 188
234.7778 8414.0 188
235.4480 8166.0 188
236.1237 8266.0 188
236.8103 8222.0 188
237.4805 8153.0 188
238.1561 8209.0 188
238.8263 8259.0 188
239.5129 8266.0 188
240.1831 8259.0 188
240.8588 8401.0 188
241.5454 8394.0 188
242.2156 8427.0 188
242.8857 8272.0 188
243.5614 8285.0 188
244.2480 8368.0 188
245.5884 7486.0 188
246.2805 7471.0 188
246.9507 7486.0 188
247.6208 7518.0 188
248.2965 7497.0 188
248.9832 7555.0 188
251.1365 4505.0 188
253.8391 3840.0 188
254.6356 3655.0 188
255.3113 3525.0 188
255.9814 3391.0 188
256.6681 3305.0 188
257.3438 3198.0 188
258.0139 3095.0 188
258.6841 2981.0 188
259.4971 2902.0 188
260.1672 2837.0 188
260.8429 2747.0 188
261.5131 2664.0 188
262.1997 2616.0 188
262.8699 2550.0 188
263.5455 2484.0 188
264.2157 2430.0 188
265.0287 2371.0 188
265.6989 2315.0 188
266.3745 2267.0 188
267.0447 2270.0 188
267.6050 2282.0 188
268.2806 2293.0 188
269.0771 2315.0 188
269.7473 2336.0 188
270.3076 2353.0 188
271.1041 2361.0 188
271.6534 2386.0 188
272.3236 2400.0 188
273.0103 2422.0 188
273.6694 2442.0 188
274.3396 2461.0 188
275.0153 2491.0 188
275.6689 2504.0 188
276.3391 2533.0 188
277.0148 2547.0 188
277.6685 2580.0 188
278.3386 2613.0 188
279.0143 2635.0 188
279.6680 2665.0 188
