#RPLIDAR SCAN DATA
#COUNT=372
#Angule	Distance	Quality
355.8087 2197.0 188
356.4844 2198.0 188
357.1381 2208.0 188
357.8082 2226.0 188
358.4674 2241.0 188
359.1376 2249.0 188
359.8077 2257.0 188
0.4669 2258.0 188
1.1371 2253.0 188
10.3436 2623.0 188
11.0138 2621.0 188
11.6840 2637.0 188
12.3431 2656.0 188
13.0133 2684.0 188
13.6835 2714.0 188
14.3427 2738.0 188
15.0128 2766.0 188
15.6830 2790.0 188
16.3422 2826.0 188
17.0123 2855.0 188
17.5616 2894.0 188
18.2153 2931.0 188
18.8855 2976.0 188
25.4169 5277.0 188
26.0925 5259.0 188
26.7462 5272.0 188
27.4219 5267.0 188
28.0920 5231.0 188
28.7457 5211.0 188
29.4214 5132.0 188
30.0751 5091.0 188
30.7452 5048.0 188
31.4209 5046.0 188
32.0746 5006.0 188
32.7448 4976.0 188
33.4204 4928.0 188
34.0741 4917.0 188
34.7498 4885.0 188
35.4034 4845.0 188
36.0736 4823.0 188
36.7493 4800.0 188
37.4030 4958.0 188
38.0731 5037.0 188
38.7488 5231.0 188
39.4025 5287.0 188
66.8738 4606.0 188
67.5439 4598.0 188
68.2141 4604.0 188
68.8733 4589.0 188
69.5435 4595.0 188
70.2136 4675.0 188
70.8893 4736.0 188
81.6064 4854.0 188
82.2656 4823.0 188
82.9358 4706.0 188
88.0444 400.0 188
88.9673 383.0 188
89.8737 377.0 188
90.2966 372.0 188
91.3403 365.0 188
92.2467 359.0 188
92.6697 354.0 188
93.5760 350.0 188
94.2462 348.0 188
95.1526 345.0 188
95.3229 343.0 188
96.4984 341.0 188
97.0313 339.0 188
97.9486 337.0 188
98.2343 336.0 188
98.7781 334.0 188
100.0580 333.0 188
100.4810 332.0 188
101.0138 331.0 188
101.4368 329.0 188
102.6068 328.0 188
103.1396 327.0 188
104.0625 326.0 188
104.5898 326.0 188
104.8865 325.0 188
105.5457 326.0 188
106.2158 327.0 188
107.0123 328.0 188
107.6715 329.0 188
108.7152 330.0 188
109.1382 332.0 188
110.0610 333.0 188
110.1050 335.0 188
111.2640 336.0 188
111.4343 337.0 188
112.6044 338.0 188
113.0273 340.0 188
113.5767 342.0 188
113.9832 343.0 188
114.7797 341.0 188
115.4498 343.0 188
116.3727 345.0 188
116.6693 347.0 188
117.3395 350.0 188
118.3722 353.0 188
118.9215 356.0 188
119.5917 358.0 188
120.1355 361.0 188
120.4321 363.0 188
121.0913 366.0 188
122.1405 370.0 188
122.3108 374.0 188
123.2336 378.0 188
123.7775 381.0 188
124.5575 386.0 188
125.2332 390.0 188
125.5298 394.0 188
126.2000 397.0 188
126.9965 402.0 188
127.4194 408.0 188
128.0731 414.0 188
128.7323 422.0 188
129.2761 432.0 188
130.0616 445.0 188
135.1044 177.0 188
136.0107 164.0 188
136.6699 162.0 188
137.3401 162.0 188
137.9993 162.0 188
138.6694 162.0 188
139.3231 164.0 188
139.9823 165.0 188
142.3883 173.0 188
143.2947 169.0 188
143.9648 167.0 188
144.6240 167.0 188
145.2942 167.0 188
145.9479 168.0 188
146.6071 169.0 188
147.2772 170.0 188
147.9364 171.0 188
148.3594 175.0 188
149.0131 176.0 188
149.9194 177.0 188
150.3424 177.0 188
150.9961 178.0 188
151.6718 179.0 188
152.3254 180.0 188
164.3884 193.0 188
165.0586 192.0 188
165.7343 192.0 188
166.4044 192.0 188
167.0746 193.0 188
167.6239 195.0 188
168.4204 196.0 188
169.0906 198.0 188
169.7607 204.0 188
164.2786 4462.0 188
164.9487 4478.0 188
165.6244 4507.0 188
166.2946 4503.0 188
166.9647 4505.0 188
167.6239 4488.0 188
168.2941 4417.0 188
173.6719 4495.0 188
174.3256 4377.0 188
174.9957 4242.0 188
175.6714 4138.0 188
176.3416 4013.0 188
177.0117 3898.0 188
177.8082 3804.0 188
178.4839 3720.0 188
179.1541 3639.0 188
179.8242 3552.0 188
180.4999 3474.0 188
181.1700 3408.0 188
181.8237 3360.0 188
182.4994 3285.0 188
183.1696 3226.0 188
183.8397 3145.0 188
184.5154 3089.0 188
185.1855 3023.0 188
185.8557 2985.0 188
186.6522 2932.0 188
187.2015 2888.0 188
187.9980 2829.0 188
188.6682 2784.0 188
189.3274 2744.0 188
189.9976 2712.0 188
190.6677 2674.0 188
191.3434 2636.0 188
191.9971 2590.0 188
192.6672 2554.0 188
193.3429 2524.0 188
194.0131 2495.0 188
194.6832 2467.0 188
205.2631 192.0 188
205.9332 191.0 188
202.1539 2173.0 188
202.8241 2175.0 188
203.4998 2148.0 188
204.1534 2134.0 188
204.8236 2106.0 188
205.4993 2075.0 188
206.1694 2021.0 188
212.2009 1968.0 188
212.9974 1967.0 188
213.5468 1920.0 188
214.3433 1899.0 188
214.8871 1894.0 188
215.6836 1879.0 188
216.3593 1868.0 188
217.0294 1858.0 188
217.6996 1851.0 188
218.3698 1845.0 188
219.0454 1827.0 188
219.7156 1823.0 188
220.3857 1812.0 188
221.0614 1809.0 188
221.7316 1795.0 188
222.4017 1787.0 188
223.0774 1784.0 188
223.7476 1778.0 188
224.4177 1772.0 188
225.0934 1763.0 188
225.7635 1774.0 188
226.4337 1748.0 188
227.1094 1744.0 188
227.7795 1738.0 188
228.4497 1735.0 188
229.1199 1783.0 188
229.7955 1869.0 188
230.4657 1968.0 188
232.0917 2923.0 188
232.8882 2924.0 188
233.4375 2944.0 188
234.1077 2957.0 188
235.3107 3888.0 188
236.1072 3875.0 188
236.6510 4315.0 188
237.3267 4967.0 188
239.8700 9363.0 188
240.5457 9156.0 188
241.2158 9164.0 188
241.8860 9306.0 188
242.5452 9258.0 188
243.2153 9274.0 188
243.8855 9298.0 188
244.5612 9338.0 188
245.2313 9274.0 188
245.8905 9306.0 188
252.5922 9355.0 188
253.2458 9322.0 188
253.9215 9445.0 188
255.2618 8671.0 188
255.9375 8595.0 188
256.6077 8602.0 188
257.2614 8561.0 188
257.9370 8615.0 188
258.6072 8650.0 188
259.2773 8699.0 188
259.9530 8734.0 188
262.7490 5687.0 188
264.0894 5350.0 188
266.0889 5009.0 188
267.4347 4706.0 188
268.1049 4577.0 188
268.7805 4471.0 188
269.4507 4361.0 188
270.1044 4289.0 188
270.7800 4212.0 188
271.4502 4105.0 188
272.1204 4034.0 188
272.9169 3957.0 188
273.5925 3866.0 188
274.2627 3794.0 188
274.9219 3691.0 188
275.5920 3649.0 188
276.2457 3598.0 188
276.9214 3608.0 188
277.5916 3634.0 188
278.2452 3658.0 188
278.9209 3695.0 188
279.5911 3733.0 188
280.2448 3766.0 188
280.9204 3807.0 188
281.5906 3820.0 188
282.1234 3869.0 188
282.7936 3915.0 188
283.4637 3963.0 188
284.1229 4010.0 188
284.7931 4021.0 188
285.4688 4073.0 188
286.1224 4140.0 188
286.7926 4176.0 188
287.4683 4224.0 188
288.1219 4280.0 188
288.7921 4289.0 188
289.4678 4227.0 188
292.7966 4048.0 188
293.4668 4016.0 188
294.1205 3999.0 188
296.1200 3882.0 188
296.9055 3833.0 188
297.4329 3819.0 188
298.2294 3798.0 188
299.5422 3700.0 188
300.2014 3650.0 188
301.5308 3632.0 188
302.1844 3590.0 188
302.8546 3563.0 188
303.5138 3526.0 188
304.1675 3514.0 188
304.8267 3504.0 188
305.4968 3496.0 188
306.1560 3484.0 188
306.8097 3434.0 188
307.4799 3417.0 188
308.3862 2204.0 188
309.0454 2208.0 188
309.6991 2196.0 188
310.3748 2179.0 188
311.0284 2174.0 188
311.6821 2160.0 188
312.3578 2150.0 188
313.0115 2147.0 188
313.6707 2134.0 188
314.3243 2130.0 188
315.0000 2120.0 188
315.6537 2109.0 188
316.3074 2106.0 188
316.9830 2109.0 188
317.6367 2095.0 188
318.3124 2087.0 188
318.9825 2083.0 188
319.6527 2082.0 188
320.3229 2076.0 188
320.9985 2078.0 188
321.6522 2061.0 188
322.3279 2063.0 188
322.9980 2049.0 188
323.6682 2049.0 188
324.3384 2029.0 188
325.0140 2018.0 188
325.6677 2020.0 188
326.3434 2014.0 188
327.0135 2024.0 188
327.6837 2014.0 188
328.3594 2022.0 188
329.0295 2008.0 188
329.6997 2011.0 188
330.3589 2007.0 188
331.0291 2012.0 188
331.6992 2008.0 188
332.3749 1999.0 188
333.0450 2009.0 188
333.7152 2004.0 188
334.3744 2008.0 188
335.0446 2008.0 188
335.7147 1999.0 188
336.3904 2007.0 188
337.0605 2008.0 188
337.7307 2008.0 188
338.4009 2004.0 188
339.0601 2013.0 188
339.7302 2014.0 188
340.3894 2024.0 188
341.0596 2022.0 188
341.7188 2025.0 188
342.3889 2026.0 188
343.0591 2047.0 188
343.7183 2038.0 188
344.3884 2040.0 188
345.0421 2046.0 188
345.7178 2056.0 188
346.3879 2061.0 188
347.0416 2093.0 188
