#RPLIDAR SCAN DATA
#COUNT=389
#Angule	Distance	Quality
355.6384 2353.0 188
356.4020 2317.0 188
357.0282 2311.0 188
357.5446 2307.0 188
358.2916 2284.0 188
358.8080 2277.0 188
359.4342 2269.0 188
0.0769 2261.0 188
0.8240 2235.0 188
1.4667 2207.0 188
9.6844 2207.0 188
10.3271 2183.0 188
10.9479 2165.0 188
11.5906 2159.0 188
12.2168 2147.0 188
12.8540 2143.0 188
13.4802 2156.0 188
14.1229 2136.0 188
14.7491 2138.0 188
15.3864 2134.0 188
16.0126 2133.0 188
16.6553 2135.0 188
17.2760 2136.0 188
17.9187 2133.0 188
18.5449 2135.0 188
19.1821 2141.0 188
19.8083 2131.0 188
20.4510 2129.0 188
21.0773 2129.0 188
21.7145 2126.0 188
22.3407 2135.0 188
22.9834 2131.0 188
23.6041 2136.0 188
24.2468 2136.0 188
24.8730 2136.0 188
25.5103 2140.0 188
26.1365 2137.0 188
26.7792 2148.0 188
27.4054 2155.0 188
28.0426 2153.0 188
28.6688 2148.0 188
29.3115 2150.0 188
29.9323 2169.0 188
30.5750 2168.0 188
31.2012 2166.0 188
31.8384 2176.0 188
32.4646 2173.0 188
33.1073 2173.0 188
33.7500 2182.0 188
34.3872 2191.0 188
35.0299 2212.0 188
35.6671 2212.0 188
36.3098 2218.0 188
36.9525 2223.0 188
37.5897 2226.0 188
38.2324 2231.0 188
38.8586 2234.0 188
39.4958 2250.0 188
40.1385 2257.0 188
40.7813 2277.0 188
41.2921 2288.0 188
42.0612 2296.0 188
42.6984 2312.0 188
43.2147 2327.0 188
43.9838 2334.0 188
44.4946 2346.0 188
45.1373 2353.0 188
45.7635 2355.0 188
46.4063 2374.0 188
47.0435 2378.0 188
47.8125 2384.0 188
48.3234 2402.0 188
48.9661 2421.0 188
49.6088 2436.0 188
50.2460 2444.0 188
50.8887 2466.0 188
51.5259 2482.0 188
52.1686 2504.0 188
52.7948 2521.0 188
53.4375 2526.0 188
54.0582 2556.0 188
54.7009 2579.0 188
55.3436 2587.0 188
55.9644 2608.0 188
56.6071 2633.0 188
57.2498 2659.0 188
57.8705 2674.0 188
58.5132 2698.0 188
59.1559 2711.0 188
59.7766 2749.0 188
60.4193 2777.0 188
61.0620 2799.0 188
61.6827 2820.0 188
62.3254 2855.0 188
62.8418 2881.0 188
63.5889 2902.0 188
64.2316 2928.0 188
64.7479 2971.0 188
65.3741 3010.0 188
66.0114 3050.0 188
81.1560 4505.0 188
81.7932 4505.0 188
82.4359 4499.0 188
100.3107 352.0 188
100.9369 353.0 188
101.9531 350.0 188
102.3431 343.0 188
102.8430 342.0 188
112.7637 355.0 188
113.6536 351.0 188
114.2963 348.0 188
114.7961 347.0 188
115.3125 349.0 188
116.3232 350.0 188
116.9659 353.0 188
117.5922 358.0 188
117.7185 364.0 188
118.6084 369.0 188
118.9819 374.0 188
119.9817 378.0 188
120.2454 381.0 188
120.6244 384.0 188
121.5143 387.0 188
121.8878 390.0 188
122.6404 392.0 188
123.4039 395.0 188
123.7775 398.0 188
124.2773 402.0 188
