#RPLIDAR SCAN DATA
#COUNT=371
#Angule	Distance	Quality
355.7648 2350.0 188
356.5283 2340.0 188
357.1545 2334.0 188
357.7917 2333.0 188
358.2916 2320.0 188
358.9343 2309.0 188
359.6869 2306.0 188
0.1978 2282.0 188
0.9503 2271.0 188
9.0582 2282.0 188
9.8108 2258.0 188
10.4480 2242.0 188
11.0742 2220.0 188
11.7169 2217.0 188
12.3431 2220.0 188
12.9803 2217.0 188
13.6066 2211.0 188
14.2493 2203.0 188
14.8700 2212.0 188
15.5127 2212.0 188
16.1389 2205.0 188
16.7761 2205.0 188
17.4023 2206.0 188
18.0450 2204.0 188
18.6823 2211.0 188
19.3085 2213.0 188
19.9512 2207.0 188
20.5884 2217.0 188
21.2146 2217.0 188
21.8573 2219.0 188
22.4835 2218.0 188
23.1207 2218.0 188
23.7634 2226.0 188
24.3896 2227.0 188
25.0269 2228.0 188
25.6696 2247.0 188
26.2958 2241.0 188
26.9330 2243.0 188
27.5592 2249.0 188
28.2019 2263.0 188
28.8391 2269.0 188
29.4653 2271.0 188
29.9817 2281.0 188
30.7452 2276.0 188
31.2451 2277.0 188
32.0142 2284.0 188
32.6404 2305.0 188
33.1512 2309.0 188
33.9203 2315.0 188
34.4202 2320.0 188
35.1837 2332.0 188
35.8264 2342.0 188
36.3263 2351.0 188
36.9635 2372.0 188
37.5897 2374.0 188
38.2324 2390.0 188
38.8696 2404.0 188
39.4958 2395.0 188
40.1385 2412.0 188
40.7813 2430.0 188
41.4020 2437.0 188
42.0447 2459.0 188
42.6709 2461.0 188
43.3081 2472.0 188
43.9508 2487.0 188
44.5770 2507.0 188
45.2142 2511.0 188
45.8569 2515.0 188
46.4832 2530.0 188
47.1204 2563.0 188
47.7466 2586.0 188
48.3893 2594.0 188
49.0265 2607.0 188
49.6527 2613.0 188
50.2954 2654.0 188
50.9326 2668.0 188
51.5588 2686.0 188
52.2015 2704.0 188
52.8278 2723.0 188
53.4650 2740.0 188
54.1077 2778.0 188
54.7339 2792.0 188
55.3711 2813.0 188
55.8875 2852.0 188
56.5137 2873.0 188
57.2772 2897.0 188
57.7936 2925.0 188
58.4363 2963.0 188
59.0735 2992.0 188
59.6997 3016.0 188
60.3424 3053.0 188
60.9796 3093.0 188
61.6223 3128.0 188
97.3718 297.0 188
98.3881 299.0 188
98.2782 300.0 188
99.2944 300.0 188
100.0580 300.0 188
100.8270 300.0 188
101.0907 300.0 188
101.8433 297.0 188
116.7462 340.0 188
117.2461 340.0 188
117.8723 339.0 188
118.5150 339.0 188
119.0149 340.0 188
119.7784 343.0 188
119.9048 348.0 188
120.4211 352.0 188
121.0419 356.0 188
122.0581 362.0 188
122.4481 370.0 188
123.0908 373.0 188
123.4644 377.0 188
124.2334 378.0 188
124.9969 380.0 188
125.2606 383.0 188
126.1395 386.0 188
126.5295 391.0 188
127.2931 399.0 188
128.4521 482.0 188
129.2157 489.0 188
131.5613 3016.0 188
137.4664 318.0 188
138.1091 317.0 188
138.8727 316.0 188
139.9988 318.0 188
140.3888 307.0 188
140.9052 306.0 188
142.0422 305.0 188
142.0422 304.0 188
142.9321 302.0 188
144.0582 304.0 188
144.0747 308.0 188
147.4365 3191.0 188
148.0737 3146.0 188
148.7000 3113.0 188
149.3427 3089.0 188
149.9634 3043.0 188
150.6061 3020.0 188
151.2488 2991.0 188
151.8750 2951.0 188
152.5122 2917.0 188
153.1384 2888.0 188
153.9020 2855.0 188
154.5447 2831.0 188
155.1709 2786.0 188
155.8081 2749.0 188
156.4343 2726.0 188
157.0770 2701.0 188
157.7142 2674.0 188
158.3405 2648.0 188
158.9832 2618.0 188
159.6094 2592.0 188
160.2466 2566.0 188
160.8893 2561.0 188
161.5155 2583.0 188
162.1527 2622.0 188
162.7954 2657.0 188
163.4216 2465.0 188
164.0588 2453.0 188
164.7015 2458.0 188
165.3278 2459.0 188
