#RPLIDAR SCAN DATA
#COUNT=390
#Angule	Distance	Quality
355.6219 2729.0 188
356.2646 2723.0 188
356.9019 2714.0 188
357.5446 2711.0 188
358.1873 2719.0 188
358.8080 2711.0 188
359.4507 2705.0 188
0.0934 2706.0 188
0.7306 2676.0 188
1.3733 2659.0 188
9.7943 2279.0 188
10.4370 2265.0 188
11.0577 2263.0 188
11.7004 2261.0 188
12.3431 2271.0 188
12.9803 2290.0 188
13.6230 2305.0 188
14.1394 2324.0 188
14.7766 2354.0 188
15.4028 2731.0 188
16.0455 2769.0 188
16.6827 2780.0 188
17.3254 2783.0 188
17.9681 2786.0 188
18.6053 2794.0 188
19.2480 2814.0 188
19.8853 2838.0 188
20.5280 2846.0 188
21.1707 2855.0 188
21.8079 2859.0 188
22.4506 2868.0 188
23.0933 2856.0 188
23.7305 2483.0 188
24.3732 2885.0 188
25.0104 2911.0 188
25.5267 2927.0 188
26.1694 2954.0 188
26.8121 2959.0 188
27.4493 2966.0 188
28.0920 2984.0 188
28.7292 3005.0 188
29.3719 3021.0 188
30.0146 3050.0 188
30.6519 3064.0 188
31.2946 3073.0 188
31.9373 3093.0 188
32.5745 3119.0 188
33.2172 3109.0 188
33.8544 3135.0 188
34.4971 3158.0 188
35.1398 3186.0 188
35.7605 3198.0 188
36.4032 3220.0 188
37.0459 3249.0 188
37.6831 3271.0 188
38.3258 3292.0 188
38.9685 3322.0 188
39.6057 3348.0 188
40.2484 3374.0 188
40.8856 3400.0 188
41.5283 3431.0 188
42.1545 3461.0 188
42.7917 3493.0 188
43.4344 3526.0 188
44.0771 3576.0 188
44.7144 3607.0 188
45.3571 3637.0 188
45.9998 3678.0 188
46.6370 3714.0 188
47.2797 3761.0 188
47.7960 3805.0 188
48.5596 3843.0 188
49.1858 3881.0 188
49.8230 3912.0 188
50.3394 3968.0 188
50.9821 4001.0 188
51.6248 4070.0 188
52.2620 4122.0 188
52.9047 4172.0 188
53.5419 4249.0 188
54.1846 4275.0 188
54.8273 4363.0 188
55.4645 4435.0 188
56.1072 4477.0 188
95.4053 342.0 188
95.7953 343.0 188
96.4325 339.0 188
97.3279 335.0 188
110.2643 340.0 188
111.0278 340.0 188
111.5442 340.0 188
112.3077 341.0 188
112.4506 343.0 188
113.0933 348.0 188
113.8568 355.0 188
114.2468 362.0 188
114.7632 368.0 188
115.5267 373.0 188
116.0431 377.0 188
116.8121 381.0 188
117.2021 383.0 188
118.0920 385.0 188
118.4821 387.0 188
119.2456 388.0 188
120.1355 388.0 188
120.4047 387.0 188
121.4044 386.0 188
121.7944 383.0 188
122.3108 381.0 188
123.3270 378.0 188
123.9642 375.0 188
124.3542 372.0 188
124.9969 370.0 188
126.0132 366.0 188
126.7767 366.0 188
127.2931 366.0 188
127.9193 366.0 188
128.4357 366.0 188
128.9520 368.0 188
129.8419 369.0 188
130.3583 371.0 188
130.7483 374.0 188
131.2646 378.0 188
132.1545 383.0 188
132.4182 393.0 188
135.6866 3408.0 188
140.3229 312.0 188
141.8390 309.0 188
142.1082 310.0 188
142.7344 300.0 188
143.7451 297.0 188
144.2615 294.0 188
145.0305 296.0 188
145.0415 300.0 188
141.4325 3033.0 188
142.0752 3014.0 188
142.7179 2956.0 188
147.8430 2849.0 188
148.5901 2777.0 188
149.2328 2753.0 188
149.8700 2732.0 188
150.5127 2716.0 188
151.1554 2705.0 188
151.7926 2678.0 188
152.4353 2664.0 188
153.0780 2652.0 188
153.7152 2623.0 188
154.3579 2611.0 188
154.9951 2599.0 188
155.6378 2584.0 188
156.2805 2582.0 188
156.9177 2573.0 188
157.5604 2560.0 188
158.2031 2528.0 188
158.8239 2520.0 188
159.4666 2514.0 188
160.1093 2504.0 188
160.7465 2499.0 188
161.3892 2475.0 188
162.0264 2469.0 188
162.6691 2459.0 188
163.3118 2444.0 188
163.9325 2441.0 188
164.5752 2438.0 188
165.2179 2409.0 188
165.8551 2404.0 188
166.4978 2406.0 188
167.1405 2402.0 188
167.7777 2383.0 188
168.4204 2366.0 188
169.0466 2366.0 188
169.8102 2359.0 188
170.3265 2357.0 188
170.9637 2353.0 188
171.6064 2347.0 188
172.2491 2365.0 188
172.8864 2349.0 188
174.1553 1169.0 188
174.9023 1172.0 188
175.4187 1170.0 188
176.0614 1168.0 188
176.6986 1165.0 188
177.4677 1163.0 188
177.9840 1162.0 188
178.6212 1161.0 188
179.3903 1158.0 188
180.0110 1159.0 188
180.6537 1159.0 188
181.2964 1161.0 188
181.9336 1157.0 188
182.5763 1155.0 188
183.0927 1156.0 188
183.7134 1166.0 188
184.3561 1158.0 188
185.1196 1158.0 188
185.6360 1157.0 188
186.2787 1161.0 188
187.0422 1157.0 188
187.6685 1161.0 188
188.1848 1158.0 188
188.8275 1161.0 188
189.5911 1163.0 188
190.2338 1163.0 188
190.7446 1170.0 188
191.5137 1170.0 188
192.1399 1170.0 188
192.6563 1174.0 188
193.2935 1175.0 188
193.9362 1176.0 188
194.5734 1180.0 188
195.2161 1187.0 188
205.0269 191.0 188
205.6696 191.0 188
205.8124 192.0 188
202.8900 1244.0 188
203.5272 1235.0 188
204.1699 1240.0 188
204.8071 1244.0 188
205.4498 1239.0 188
206.0925 1225.0 188
212.3712 1360.0 188
213.0139 1344.0 188
213.6511 1345.0 188
214.2938 1352.0 188
214.9365 1362.0 188
215.5737 1371.0 188
216.2164 1379.0 188
216.8591 1390.0 188
217.4963 1399.0 188
218.1390 1409.0 188
218.7762 1426.0 188
219.2926 1434.0 188
219.9353 1445.0 188
220.5780 1457.0 188
221.2152 1468.0 188
221.8579 1484.0 188
222.4951 1495.0 188
223.1378 1509.0 188
223.7915 1518.0 188
224.4342 1543.0 188
225.0769 1557.0 188
225.7141 1569.0 188
226.3568 1586.0 188
227.0105 1607.0 188
227.6532 1617.0 188
228.1696 1636.0 188
228.9331 1651.0 188
229.4495 1673.0 188
230.1086 1689.0 188
230.7458 1716.0 188
231.3885 1737.0 188
232.0313 1752.0 188
232.6685 1779.0 188
233.3112 1797.0 188
233.9648 1822.0 188
234.6075 1842.0 188
235.2448 1876.0 188
235.7611 1892.0 188
236.5302 1926.0 188
237.0575 1958.0 188
237.7002 1992.0 188
238.3429 2020.0 188
238.9801 2042.0 188
239.6228 2083.0 188
240.2765 2109.0 188
240.9027 2145.0 188
241.5454 2191.0 188
242.1826 2221.0 188
242.6990 2261.0 188
243.3417 2309.0 188
244.1052 2343.0 188
244.6216 2387.0 188
245.2643 2432.0 188
245.9015 2506.0 188
246.5442 2540.0 188
247.1869 2604.0 188
247.8241 2664.0 188
248.4668 2716.0 188
249.1040 2780.0 188
249.7467 2859.0 188
250.3894 2920.0 188
250.8893 2993.0 188
251.5265 3090.0 188
252.1692 3172.0 188
252.8119 3255.0 188
253.4491 3357.0 188
254.0918 3436.0 188
254.7290 3549.0 188
255.3717 3683.0 188
256.0144 3845.0 188
256.5308 3978.0 188
257.1680 4116.0 188
257.8107 4261.0 188
