#RPLIDAR SCAN DATA
#COUNT=386
#Angule	Distance	Quality
356.0889 1794.0 188
356.7151 1778.0 188
357.3413 1794.0 188
357.9675 1800.0 188
358.5938 1793.0 188
359.2145 1792.0 188
359.8242 1793.0 188
0.4504 1781.0 188
1.0767 1761.0 188
9.1681 1884.0 188
9.7943 1865.0 188
10.4205 1843.0 188
11.0468 1844.0 188
11.6510 1847.0 188
12.1509 1852.0 188
12.9034 1853.0 188
13.5297 1855.0 188
14.1559 1865.0 188
14.7766 1869.0 188
15.4028 1881.0 188
16.0126 1890.0 188
16.5125 1892.0 188
17.2650 1897.0 188
17.7649 1906.0 188
18.3856 1931.0 188
19.0118 1922.0 188
19.7479 1925.0 188
20.3741 1938.0 188
20.8740 1947.0 188
21.4948 1956.0 188
22.1210 1968.0 188
22.7472 1977.0 188
23.3734 1983.0 188
23.9996 1998.0 188
24.6204 2007.0 188
25.2466 2014.0 188
25.8893 2025.0 188
26.5155 2037.0 188
27.1362 2056.0 188
27.7625 2062.0 188
28.4052 2069.0 188
29.0259 2088.0 188
29.6521 2106.0 188
30.2783 2116.0 188
30.9210 2125.0 188
31.5417 2152.0 188
32.1680 2161.0 188
32.7942 2176.0 188
33.4369 2201.0 188
34.0576 2212.0 188
34.6838 2233.0 188
35.3101 2254.0 188
35.9528 2261.0 188
36.4526 2294.0 188
37.1997 2315.0 188
37.8259 2340.0 188
38.3423 2353.0 188
38.9685 2378.0 188
39.5892 2408.0 188
40.2155 2411.0 188
40.8582 2438.0 188
41.4844 2455.0 188
42.1051 2467.0 188
42.7313 2513.0 188
43.3740 2529.0 188
43.9948 2573.0 188
44.6210 2594.0 188
45.2472 2616.0 188
45.8734 2622.0 188
46.4996 2483.0 188
47.1204 2498.0 188
47.7466 2435.0 188
48.3728 2423.0 188
48.9990 2432.0 188
49.6198 2420.0 188
50.2460 2405.0 188
51.4984 2781.0 188
52.1246 2803.0 188
52.7454 2815.0 188
53.3716 2858.0 188
53.8715 3092.0 188
54.4977 2989.0 188
55.1239 2950.0 188
55.7446 2969.0 188
56.3708 2915.0 188
56.9971 2899.0 188
57.7496 2877.0 188
58.7494 5634.0 188
59.3701 5613.0 188
59.9963 5619.0 188
60.6226 5599.0 188
61.2488 5567.0 188
61.8750 5553.0 188
62.4957 5516.0 188
103.1232 323.0 188
103.7494 319.0 188
114.8401 365.0 188
115.4498 366.0 188
116.2024 366.0 188
116.9495 366.0 188
117.4493 367.0 188
118.0756 370.0 188
118.5590 372.0 188
119.1852 375.0 188
119.6851 377.0 188
120.4321 379.0 188
121.0419 381.0 188
121.4209 383.0 188
122.0416 384.0 188
122.9205 384.0 188
123.5468 384.0 188
124.1510 386.0 188
124.5300 389.0 188
125.4034 392.0 188
125.7770 395.0 188
126.5295 397.0 188
126.7767 397.0 188
127.5293 397.0 188
128.4027 396.0 188
129.0289 393.0 188
129.6552 388.0 188
130.4022 386.0 188
131.1548 385.0 188
131.4020 387.0 188
132.0282 390.0 188
132.5281 395.0 188
134.2804 367.0 188
135.1538 362.0 188
135.6537 366.0 188
136.5271 329.0 188
137.5433 326.0 188
138.0432 325.0 188
138.7958 330.0 188
